t_s,gpu_util_%,gpu_mem_mb,power_w,sm_mhz,mem_mhz,temp_c,cpu_total_%,cpu_mainproc_%,disk_read_mbs,disk_write_mbs,ram_used_gb
122.0,100,5895,33.37,1777,5486,54,18.2,0.0,1.84,0.32,13.12
123.1,100,5895,31.90,1777,5486,54,9.1,0.0,0.53,0.32,13.12
124.1,99,5895,29.68,1777,5486,54,24.8,96.3,1.77,0.56,13.16
125.2,100,5895,32.38,1777,5486,54,33.2,100.6,1.25,0.25,13.18
126.3,100,5895,34.24,1777,5486,54,19.7,100.3,0.55,0.15,13.17
127.3,75,5895,33.30,1777,5486,54,20.0,83.8,4.16,0.38,13.2
128.4,100,5895,33.03,1777,5486,54,33.0,4.4,4.83,0.16,13.22
129.4,100,5895,33.28,1777,5486,54,12.3,4.4,0.13,0.63,13.21
130.5,100,5895,27.46,1777,5486,53,19.5,47.3,1.11,0.0,13.21
131.5,100,5895,29.72,1777,5486,53,25.8,96.5,0.0,0.0,13.21
132.6,100,5895,32.90,1777,5486,54,23.4,100.7,1.73,0.03,13.23
133.6,100,5895,33.46,1777,5486,54,18.4,100.2,0.37,0.86,13.2
134.7,100,5895,33.33,1777,5486,54,22.4,32.5,3.95,0.38,13.25
135.8,99,5895,34.08,1777,5486,54,20.5,5.9,1.24,0.45,13.24
136.8,100,5895,30.27,1777,5486,53,10.4,1.5,0.07,0.01,13.24
137.9,99,5895,28.03,1777,5486,54,12.5,100.2,0.23,0.56,13.24
138.9,99,5895,32.89,1777,5486,54,14.1,98.8,0.0,0.05,13.23
140.0,100,5895,34.45,1777,5486,54,21.5,100.8,0.0,0.0,13.23
141.0,100,5895,33.40,1777,5486,54,22.6,74.5,2.13,0.07,13.24
142.1,100,5895,33.12,1777,5486,54,22.8,1.5,2.92,0.19,13.25
143.2,100,5895,32.41,1777,5486,54,8.5,0.0,5.72,0.17,13.24
144.2,100,5895,27.14,1777,5486,53,14.1,55.3,5.52,0.5,13.24
145.3,99,5895,31.51,1777,5486,54,12.5,99.7,0.08,0.08,13.23
146.3,100,5895,35.24,1777,5486,54,12.8,99.6,0.07,0.78,13.22
147.4,100,5895,33.48,1777,5486,54,17.1,99.9,0.0,0.09,13.21
148.4,100,5895,33.51,1777,5486,54,22.0,23.6,2.97,0.05,13.24
149.5,100,5895,33.88,1777,5486,54,9.7,1.5,0.46,0.06,13.21
150.6,100,5895,31.73,1777,5486,53,15.7,11.7,0.11,0.25,13.22
151.6,99,5895,26.98,1777,5486,54,22.8,98.4,0.1,0.36,13.25
152.7,100,5895,33.92,1777,5486,54,19.2,99.4,0.0,1.3,13.25
153.7,100,5895,33.90,1777,5486,54,26.8,97.9,0.0,0.0,13.24
154.8,100,5895,33.48,1777,5486,54,23.4,64.9,1.57,0.55,13.24
155.8,100,5895,33.72,1777,5486,54,15.1,1.5,2.24,0.01,13.23
156.9,100,5895,32.90,1777,5486,54,11.3,0.0,0.13,0.05,13.23
158.0,100,5895,27.41,1777,5486,54,17.2,68.5,0.0,0.02,13.22
159.0,99,5895,31.50,1777,5486,54,13.8,98.8,0.0,0.01,13.22
160.1,100,5895,35.32,1777,5486,54,12.3,100.9,0.0,0.0,13.21
161.2,100,5879,33.65,1777,5486,54,24.5,99.0,2.98,0.26,13.25
162.2,100,5879,32.82,1777,5486,54,19.1,8.8,3.55,0.2,13.27
163.3,100,5884,33.94,1777,5486,54,27.7,10.4,1.4,0.76,13.3
164.3,100,5884,29.14,1777,5486,53,21.5,4.4,0.16,0.64,13.28
165.4,100,5880,27.40,1777,5486,54,28.2,100.1,0.13,0.3,13.24
166.5,100,5885,32.30,1777,5486,55,28.9,95.3,0.03,0.67,13.24
167.5,100,5885,34.74,1777,5486,55,32.3,96.2,0.0,0.12,13.26
168.6,100,5885,32.98,1777,5486,54,31.8,93.0,0.1,0.52,13.25
169.6,100,5886,32.87,1777,5486,54,31.2,0.0,4.56,0.14,13.27
170.7,100,5887,33.90,1777,5486,54,30.6,1.5,0.56,1.03,13.28
171.8,100,5875,28.02,1777,5486,54,21.6,5.9,0.02,0.13,13.28
172.8,99,5885,28.44,1777,5486,55,34.7,96.4,0.0,0.04,13.28
173.9,100,5886,32.31,1777,5486,55,32.6,98.2,0.05,0.25,13.32
174.9,100,5887,34.85,1777,5486,55,32.8,99.9,0.15,0.26,13.31
176.0,100,5877,33.07,1777,5486,55,25.3,99.5,0.13,0.32,13.32
177.1,100,5877,33.13,1777,5486,55,27.2,4.4,4.37,0.0,13.35
178.1,100,5877,33.64,1777,5486,55,16.9,0.0,0.0,0.77,13.37
179.2,100,5869,27.64,1777,5486,54,18.8,8.9,0.0,0.1,13.38
180.2,100,5866,29.58,1777,5486,55,25.8,99.4,0.0,0.01,13.39
181.3,100,5866,32.31,1777,5486,55,29.3,99.2,0.05,0.17,13.41
182.3,100,5866,34.14,1777,5486,55,28.0,96.2,0.02,0.08,13.42
183.4,100,5872,32.83,1777,5486,55,29.9,100.9,0.4,0.17,13.44
184.5,100,5872,33.05,1777,5486,55,25.1,1.5,1.1,0.28,13.45
185.5,100,5866,33.79,1777,5486,55,20.3,4.5,0.17,0.53,13.45
186.6,100,5866,31.10,1777,5486,54,22.6,16.3,0.07,0.08,13.47
187.6,100,5866,25.82,1777,5486,54,29.3,96.7,0.07,0.23,13.48
188.7,100,5864,32.49,1777,5486,55,27.7,98.9,0.0,0.06,13.49
189.7,100,5864,34.02,1777,5486,55,30.9,99.3,0.02,0.14,13.5
190.8,100,5864,33.51,1777,5486,55,31.7,99.5,0.36,0.04,13.51
191.9,100,5864,32.95,1777,5486,55,24.6,2.9,3.42,0.01,13.51
192.9,100,5869,34.01,1777,5486,55,21.8,1.5,0.0,0.04,13.53
194.0,100,5872,29.89,1777,5486,54,21.8,16.4,0.07,0.23,13.55
195.0,99,5868,26.82,1777,5486,55,26.6,100.4,0.19,0.26,13.57
196.1,99,5868,32.08,1777,5486,55,27.6,100.7,0.04,0.0,13.58
197.2,100,5868,33.94,1777,5486,55,28.7,99.6,0.0,0.62,13.55
198.2,96,5868,33.59,1777,5486,55,25.9,93.0,1.4,0.09,13.56
199.3,100,5866,32.99,1777,5486,55,23.7,1.5,4.77,0.19,13.55
200.3,100,5866,34.11,1777,5486,55,25.0,5.9,0.02,0.16,13.55
201.4,100,5866,28.67,1777,5486,54,20.1,20.8,0.07,0.0,13.55
202.4,99,5883,28.22,1777,5486,55,28.5,100.8,0.0,0.05,13.55
203.5,99,5885,32.38,1777,5486,56,32.9,97.7,0.09,1.32,13.58
204.6,100,5885,34.96,1777,5486,56,24.8,97.9,0.2,0.05,13.58
205.6,100,5877,33.08,1777,5486,56,27.5,92.9,0.95,0.0,13.59
206.7,100,5877,33.30,1777,5486,55,23.5,1.5,3.85,0.46,13.59
207.7,100,5877,33.51,1777,5486,55,17.2,0.0,0.0,0.12,13.59
208.8,99,5877,27.75,1777,5486,54,25.8,25.1,0.02,0.1,13.59
209.9,99,5877,29.41,1777,5486,55,30.9,99.7,0.4,0.32,13.63
210.9,99,5877,32.35,1777,5486,56,24.4,103.0,0.02,0.0,13.61
212.0,100,5877,34.59,1777,5486,55,24.7,96.4,0.13,0.18,13.6
213.0,100,5877,33.01,1777,5486,55,28.4,88.6,1.27,0.07,13.6
214.1,100,5877,33.16,1777,5486,55,23.0,1.5,4.29,0.09,13.62
215.2,100,5877,33.00,1777,5486,55,20.1,1.4,0.08,0.18,13.62
216.2,100,5877,27.83,1777,5486,55,19.3,25.1,0.07,0.07,13.62
217.3,99,5877,29.95,1777,5486,55,24.9,100.1,0.0,0.38,13.62
218.4,100,5877,32.17,1777,5486,56,27.7,97.8,0.0,0.1,13.6
219.4,100,5877,34.05,1777,5486,55,23.8,102.1,0.0,0.03,13.6
220.5,100,5872,33.41,1777,5486,56,25.7,82.8,1.89,0.11,13.61
221.5,100,5872,33.03,1777,5486,55,23.4,1.5,3.87,0.05,13.61
222.6,100,5872,34.02,1777,5486,56,20.9,6.0,0.02,0.14,13.61
223.6,100,5872,27.32,1777,5486,55,17.0,26.7,0.0,0.05,13.6
224.7,100,5872,29.89,1777,5486,55,26.2,99.3,0.0,0.02,13.58
225.8,100,5872,32.51,1777,5486,56,29.8,98.9,0.0,0.04,13.58
226.8,100,5872,34.03,1777,5486,55,26.3,96.1,0.0,0.06,13.57
227.9,100,5872,33.68,1777,5486,55,34.0,80.0,2.72,0.84,13.59
228.9,100,5872,33.02,1777,5486,56,27.0,2.9,3.64,0.03,13.58
230.0,100,5872,34.22,1777,5486,56,19.2,0.0,0.0,0.31,13.59
231.0,100,5872,29.15,1777,5486,54,25.8,31.1,0.0,0.04,13.58
232.1,99,5872,27.51,1777,5486,56,28.6,102.0,0.0,0.13,13.58
233.2,100,5872,33.50,1777,5486,56,33.2,99.6,0.0,0.04,13.58
234.2,100,5872,33.80,1777,5486,55,26.8,96.3,0.0,0.0,13.58
235.3,88,5872,33.35,1777,5486,56,33.2,87.0,1.99,0.13,13.59
